evidence_id,gene_id,symbol,cell_type_id,cell_type_name,compartment,expected_expression,evidence_basis,biological_rationale,quantitative_status
CD274_malignant_cell,29126,CD274,malignant_cell,malignant cell,malignant tumor,context-dependent,curated_literature_and_marker_context,PD-L1 can be expressed by tumor cells under interferon-rich immune pressure.,not_matrix_quantified_in_v1
CD274_macrophage,29126,CD274,macrophage,macrophage,myeloid immune,moderate,curated_literature_and_marker_context,Myeloid cells are common PD-L1-positive compartments in tumor microenvironments.,not_matrix_quantified_in_v1
CD274_dendritic_cell,29126,CD274,dendritic_cell,dendritic cell,myeloid immune,moderate,curated_literature_and_marker_context,Antigen-presenting cells can express PD-L1 during immune regulation.,not_matrix_quantified_in_v1
PDCD1_cd8_positive_alpha_beta_t_cell,5133,PDCD1,cd8_positive_alpha_beta_t_cell,"CD8-positive, alpha-beta T cell",lymphoid immune,high,curated_literature_and_marker_context,PD-1 is a canonical exhausted or chronically stimulated T-cell receptor.,not_matrix_quantified_in_v1
PDCD1_cd4_positive_alpha_beta_t_cell,5133,PDCD1,cd4_positive_alpha_beta_t_cell,"CD4-positive, alpha-beta T cell",lymphoid immune,moderate,curated_literature_and_marker_context,Activated and dysfunctional CD4 T cells can express PD-1.,not_matrix_quantified_in_v1
PDCD1_regulatory_t_cell,5133,PDCD1,regulatory_t_cell,regulatory T cell,lymphoid immune,moderate,curated_literature_and_marker_context,Regulatory T cells can carry inhibitory checkpoint programs.,not_matrix_quantified_in_v1
CTLA4_regulatory_t_cell,1493,CTLA4,regulatory_t_cell,regulatory T cell,lymphoid immune,high,curated_literature_and_marker_context,CTLA4 is strongly associated with regulatory T-cell biology.,not_matrix_quantified_in_v1
CTLA4_cd4_positive_alpha_beta_t_cell,1493,CTLA4,cd4_positive_alpha_beta_t_cell,"CD4-positive, alpha-beta T cell",lymphoid immune,moderate,curated_literature_and_marker_context,Activated CD4 T cells may express CTLA4.,not_matrix_quantified_in_v1
LAG3_cd8_positive_alpha_beta_t_cell,3902,LAG3,cd8_positive_alpha_beta_t_cell,"CD8-positive, alpha-beta T cell",lymphoid immune,moderate,curated_literature_and_marker_context,LAG3 is an inhibitory receptor linked to T-cell dysfunction.,not_matrix_quantified_in_v1
LAG3_cd4_positive_alpha_beta_t_cell,3902,LAG3,cd4_positive_alpha_beta_t_cell,"CD4-positive, alpha-beta T cell",lymphoid immune,moderate,curated_literature_and_marker_context,LAG3 can mark exhausted or regulatory-like T-cell states.,not_matrix_quantified_in_v1
TIGIT_cd8_positive_alpha_beta_t_cell,201633,TIGIT,cd8_positive_alpha_beta_t_cell,"CD8-positive, alpha-beta T cell",lymphoid immune,moderate,curated_literature_and_marker_context,TIGIT is a checkpoint receptor in dysfunctional T and NK states.,not_matrix_quantified_in_v1
TIGIT_natural_killer_cell,201633,TIGIT,natural_killer_cell,natural killer cell,lymphoid immune,moderate,curated_literature_and_marker_context,TIGIT is also observed in NK-cell inhibitory programs.,not_matrix_quantified_in_v1
TIGIT_regulatory_t_cell,201633,TIGIT,regulatory_t_cell,regulatory T cell,lymphoid immune,moderate,curated_literature_and_marker_context,TIGIT-positive regulatory T cells can contribute to immune suppression.,not_matrix_quantified_in_v1
HAVCR2_cd8_positive_alpha_beta_t_cell,84868,HAVCR2,cd8_positive_alpha_beta_t_cell,"CD8-positive, alpha-beta T cell",lymphoid immune,moderate,curated_literature_and_marker_context,TIM-3 is associated with dysfunctional T-cell states.,not_matrix_quantified_in_v1
HAVCR2_macrophage,84868,HAVCR2,macrophage,macrophage,myeloid immune,moderate,curated_literature_and_marker_context,HAVCR2 can also appear in myeloid regulatory contexts.,not_matrix_quantified_in_v1
EGFR_malignant_cell,1956,EGFR,malignant_cell,malignant cell,malignant tumor,high,curated_literature_and_marker_context,"EGFR is a canonical NSCLC tumor driver, especially in LUAD subsets.",not_matrix_quantified_in_v1
EGFR_epithelial_cell_of_lung,1956,EGFR,epithelial_cell_of_lung,epithelial cell of lung,epithelial,moderate,curated_literature_and_marker_context,EGFR biology is epithelial-lineage linked.,not_matrix_quantified_in_v1
